id;title;main_story;main_plus_extras;completionist
300;Airborne Assault: Red Devils Over Arnhem;;;
301;AirBuccaneers;;;
302;AirForce Delta;10.0;12.0;14.0
303;AirForce Delta Storm;4.0;;
304;Airline Tycoon 2;;25.0;
305;AirMech;;;
306;Airwolf;;;3.5
308;Akai Katana;0.6666666666666666;;
309;Akalabeth: World of Doom;2.5;2.5;3.5
310;Akane the Kunoichi;2.0;3.0;4.0
311;Akazukin Chacha;;;
313;Akira Psycho Ball;1.5;;
314;Akuma: Demon Spawn;;;
315;Al Emmo and the Lost Dutchman's Mine;6.0;;10.0
317;Al Unser Jr.'s Turbo Racing;;;
318;Al-Qadim: The Genie's Curse;;13.5;
319;Alan Wake;11.0;14.5;25.5
320;Alan Wake's American Nightmare;3.5;4.5;8.0
321;Alan Wake: The Signal DLC;1.5;1.5;2.0
322;Alan Wake: The Writer DLC;1.5;1.5;2.5
323;Albert Odyssey: Legend of Eldean;29.5;32.0;56.0
324;Albion;34.5;39.0;48.5
325;Alcahest;5.0;7.5;
326;Alchemy (2001);;;8.0
327;Aldynes;;;
329;Alex Kidd in Miracle World;2.0;2.5;3.0
330;Alex Kidd in Shinobi World;0.75;0.7666666666666667;0.8166666666666667
331;Alex Kidd in the Enchanted Castle;1.5;1.5;2.5
332;Alex Kidd: High-Tech World;1.5;2.0;
333;Alex Kidd: The Lost Stars;1.0;;1.5
334;Alex Rider: Stormbreaker;;;6.5
335;Alexander;;15.0;
336;ALF: The First Adventure;;;
337;Alfred Chicken;3.0;;4.5
338;Alias;19.0;;
339;Alice in Wonderland (2010);10.0;;10.0
340;Alice: Madness Returns;14.0;15.5;22.0
341;Alida;;;
343;Alien 3;2.5;4.0;4.0
344;Alien 3: The Gun;0.7;;
345;Alien Breed;;;
346;Alien Breed 2: Assault;5.5;6.5;9.5
347;Alien Breed 3: Descent;5.0;6.0;8.0
348;Alien Breed: Impact;5.5;6.0;8.0
349;Alien Brigade;;;
350;Alien Crush;2.0;;
